Action,TimeSpent(s)
RELEASE_CAN,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
